[12:37:06] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:37:06.550349+05:30'}
[12:37:42] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:37:42.529709+05:30'}
[12:38:07] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:38:07.097948+05:30'}
[12:48:55] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:48:55.717692+05:30'}
[13:42:28] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:28.669887+05:30'}
[13:42:29] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:29.361439+05:30'}
[13:42:33] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:33.977890+05:30'}
[13:42:34] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:34.757379+05:30'}
[13:42:38] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:38.898277+05:30'}
[13:42:39] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:39.129293+05:30'}
[13:42:43] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:43.327161+05:30'}
[13:42:43] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:43.888232+05:30'}
[13:42:47] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:47.696010+05:30'}
[13:42:48] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:48.898932+05:30'}
